articleID,acronym,correct_expansion,wrong_expansion2
2964643,ADH,antidiuretic hormone,and antidiuretic hormone
17571056,ADH,antidiuretic hormone,an antidiuretic hormone
2986486,ADH,antidiuretic hormone,an antidiuretic hormone
15772501,ADH,antidiuretic hormone,and antidiuretic hormone
2458093,ALS,anti-lymphocyte serum,antilymphocytic serum
8489312,ALS,anti-lymphocyte serum,anti-rat lymphocyte serum
8525521,ALS,anti-lymphocyte serum,anti-mouse lymphocyte serum
3260183,ALS,anti-lymphocyte serum,anti-mouse lymphocyte sera
9039923,ALS,anti-lymphocyte serum,an antilymphocyte serum
12457363,ALS,anti-lymphocyte serum,and antilymphocyte serum
1417190,ALS,anti-lymphocyte serum,anti-rat lymphocyte serum
16042064,ALS,anti-lymphocyte serum,antilimphocitic serum
8932289,ALS,anti-lymphocyte serum,antilymphocyte antiserum
16201179,ALS,anti-lymphocyte serum,anti-rat lymphocyte serum
7709451,ALS,anti-lymphocyte serum,anti-mouse lymphocyte serum
12792521,ALS,anti-lymphocyte serum,anti-mouse lymphocyte serum
18054789,BLM,Bloom,bleomycin
19501970,BSA,body surface area,burned surface area
19545393,BSA,body surface area,between body surface area
18664845,CAD,Computer aided detection,computer-aided diagnosis
18215501,CAD,Computer aided detection,computer-assisted diagnosis
19114333,CAD,Computer aided detection,computer-aided diagnostic
19963750,CAD,Computer aided detection,computer-aided diagnosis
19697693,CAD,Computer aided detection,computer aided diagnostic
18572123,CAD,Computer aided detection,Computer-aided diagnosis
19163567,CAD,Computer aided detection,computer-aided diagnosis
18383556,CAD,Computer aided detection,computer-aided diagnosis
20033597,CAD,Computer aided detection,computer-assisted diagnosis
19409753,CAD,Computer aided detection,computer-aided diagnosis
18520568,CAD,Computer aided detection,computer-assisted diagnosis
18520567,CAD,Computer aided detection,computer-aided diagnosis
19906311,CAD,Computer aided detection,Computer-aided diagnosis
19673208,CAD,Computer aided detection,computer-aided diagnosis
18561648,CAD,Computer aided detection,computer-aided diagnostic
20376799,CAD,coronary artery disease,coronary atherosclerotic disease
19787727,CAD,Computer aided detection,computer-aided diagnosis
18311000,CAD,Computer aided detection,computer-aided diagnosis
18313899,CAD,Computer aided detection,computer-aided diagnosis
19884071,CAD,Computer aided detection,Computer-aided diagnosis
19562230,CAD,Computer aided detection,computer-assisted diagnosis
18423313,CAD,Computer aided detection,computer-assisted detection
18278213,CAD,Computer aided detection,computer-aided diagnosis
18574139,CAD,Computer aided detection,computer-aided diagnosis
19864511,CAD,Computer aided detection,computer-aided diagnosis
19373538,CAD,Computer aided detection,computer-aided diagnosis
19175137,CAD,Computer aided detection,computer-aided diagnosis
19223423,CAD,Computer aided detection,computer-assisted diagnosis
18328470,CAD,Computer aided detection,computer-aided diagnosis
18253070,CAD,Computer aided detection,computer aided diagnosis
18280927,CAD,Computer aided detection,computer-aided diagnosis
18514362,CAD,Computer aided detection,computer-aided diagnosis
19721831,CAD,Computer aided detection,computer-aided diagnostic
18855300,CAD,Computer aided detection,computer-assisted detection
18606749,CAD,Computer aided detection,computer-aided diagnosis
19964999,CAD,Computer aided detection,computer-aided diagnosis
